S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,PEG,OPM %,Debt / Eq,ROE %,CMP / BV,CMP / FCF,EV / EBITDA,Free Cash Flow Rs.Cr.,Piotski Scr,EPS dil growth,Tickers
122,Suzlon Energy,53.62,62.06,72587.92,0,24.93,3.15,16.36,0.06,28.77,16.21,139.94,45.04,-146.86,7,20.04,SUZLON.NS
198,Tata Chemicals,870.85,45.52,22185.73,1.72,7.81,-3.43,13.93,0.29,2.32,1.01,22.19,11.21,1193,5,-13.27,TATACHEM.NS
167,Tata Comm,1523.65,39.01,43424.03,1.09,17.55,0.54,19.65,6.99,65.21,24.5,19.85,11.99,1110.16,4,72.66,TATACOMM.NS
82,Tata Consumer,1027.75,77.54,101691.63,0.74,10.65,2.88,14.69,0.15,8.32,5.27,72.34,38.51,177.99,8,15.71,TATACONSUM.NS
176,Tata Elxsi,6116.35,47.04,38094.79,1.14,42.74,2.1,27.55,0.08,34.47,15.29,78.66,30.91,449.74,5,12.34,TATAELXSI.NS
26,Tata Motors,684.05,7.94,251811.82,0.44,20.11,0.09,13.12,1.05,49.44,2.53,14.38,5.06,36732.82,8,41.75,TATAMOTORS.NS
69,Tata Power Co.,347.8,28.72,111133.86,0.57,11.13,0.39,18.25,1.73,11.28,3.36,-212.25,10.66,-590.44,7,28.24,TATAPOWER.NS
43,Tata Steel,136.1,60,169900.83,2.66,7.02,-10.29,11.45,1.1,6.55,1.86,11.36,9.7,2569.47,3,13.96,TATASTEEL.NS
190,Tata Technolog.,738.2,46.34,29946.4,1.13,28.29,3.4,18.15,0.08,21.88,9.34,205.04,28.47,203.57,5,12.4,TATATECH.NS
2,TCS,3910,29.07,1414672.19,1.4,64.28,3.54,26.81,0.09,51.51,13.94,36.1,19.63,41688,7,9,TCS.NS
51,Tech Mahindra,1669.75,43.62,163441.09,2.43,11.88,-3.88,11.86,0.08,8.63,6.19,33.37,22.09,-30041.71,4,15.34,TECHM.NS
147,Tube Investments,2715.9,64.09,52546.33,0.13,26.28,1.67,10.42,0.13,26.48,9.87,105.55,22.92,126.21,4,11.65,TIINDIA.NS
24,Titan Company,3236.3,88.68,287314.18,0.34,22.7,4.38,9.22,2.22,32.91,29.53,833.61,52.26,1024,4,20.23,TITAN.NS
77,Torrent Pharma.,3076.65,55.91,104123.15,0.93,23.16,2.59,32.21,0.42,24.23,13.91,47.85,28.58,2966.96,9,21.55,TORNTPHARM.NS
134,Torrent Power,1257.7,26.91,63375.96,1.29,14.77,1.79,18.08,0.87,15.21,4.76,76.07,12.94,659.29,6,15.05,TORNTPOWER.NS
39,Trent,5268.7,126.06,187295.67,0.06,23.79,2.23,15.83,0.39,27.16,40.04,478.38,64.55,955.24,8,54.41,TRENT.NS
65,TVS Motor Co.,2476.2,59.6,117641.11,0.32,14.68,3.27,14.43,1.88,26.55,15.16,-33.24,20.48,2075.98,7,21.62,TVSMOTOR.NS
18,UltraTech Cem.,11568,53.26,333968.17,0.61,15.12,2.23,16.9,0.28,12.19,5.44,114.9,27.1,2013.49,8,22.64,ULTRACEMCO.NS
101,Union Bank (I),113,5.28,86259.75,3.15,6.55,0.11,66.83,12.82,15.64,0.9,4.45,13.24,18624.09,7,-2.05,UNIONBANK.NS
83,United Spirits,1391.5,68.96,101210.94,0.64,27.87,4.38,17.86,0.07,20.98,13.23,125.18,42.13,1626.45,5,27.24,UNITDSPR.NS
158,UPL,630.4,-253.25,47318.3,0.16,3.29,-2.83,12.87,1.23,-4.28,1.99,17.24,12.04,-132,4,14.57,UPL.NS
41,Varun Beverages,516.5,67.19,174654.94,0.19,24.21,1.64,23.54,0.17,22.04,10.5,-466.87,36.23,9855,5,0.24,VBL.NS
47,Vedanta,424.85,14.04,166132.82,10.23,20.91,-1.18,26.78,2.13,10.49,4.46,7.89,5.45,4836.5,3,12.11,VEDL.NS
172,Voltas,1251.7,58.47,41416.86,0.41,8.51,-4.3,5.67,0.14,4.4,6.6,125.2,36.47,473.22,6,28.52,VOLTAS.NS
19,Wipro,307.5,26.02,321979.43,1.91,16.93,6.71,20.02,0.24,14.31,3.93,25.59,15.66,16972.8,8,6.91,WIPRO.NS
140,Yes Bank,18.21,26.33,57093.55,0,5.81,-4.77,60.61,8.23,3.11,1.24,32.16,15.61,8682.68,7,-42.92,YESBANK.NS
35,Zomato Ltd,217.95,317.28,210329.35,0,1.14,19.78,3.62,0.05,1.12,9.83,-504.31,132.28,444,7,19.55,ZOMATO.NS
87,Zydus Lifesci.,943.75,20.93,94963.36,0.32,22.34,1.26,29.5,0.01,20.67,4.42,55.94,13.54,2345,8,3.81,ZYDUSLIFE.NS
